x,y,cluster
5.243307,6.875820,2
4.428882,5.803203,2
5.198094,7.441260,2
3.118053,6.799718,0
3.716146,6.224331,2
3.182454,7.410752,0
1.489628,7.051254,0
2.114771,5.020848,0
3.243315,6.967075,0
2.677900,4.720747,2
5.206111,8.441894,0
3.357937,6.500925,0
2.427151,7.494156,0
2.250847,6.673696,0
4.543932,8.770236,0
4.161081,7.220910,0
1.742624,7.856899,0
1.290059,7.508513,0
4.396175,7.658473,0
3.791845,5.030258,2
1.763095,7.797261,0
1.279963,8.696531,0
1.490632,5.904046,0
2.717724,7.762501,0
1.761899,7.737154,0
2.343936,8.103423,0
1.864943,4.774708,0
2.157265,6.650689,0
1.815543,8.277719,0
3.147912,8.790609,0
4.468317,4.510806,2
1.125042,6.350734,0
3.372898,7.299900,0
4.961436,5.773258,2
2.678785,4.675709,2
1.215816,4.679067,0
1.623827,6.241041,0
2.446715,5.499654,0
1.696742,5.493686,0
1.595027,6.181245,0
1.995877,8.483502,0
2.018714,7.269717,0
1.591374,7.662600,0
5.417036,5.451590,2
2.471562,5.621815,0
3.281228,6.936677,0
4.066491,5.157287,2
1.446261,4.821124,0
1.535062,5.523974,0
1.226978,8.229860,0
5.181643,4.889527,2
4.031705,8.487870,0
1.426860,7.402134,0
3.216683,5.238603,2
3.076983,5.565097,2
2.688474,6.808717,0
5.459946,5.886526,2
1.793578,6.067404,0
4.660458,5.765911,2
1.308010,6.400484,0
2.802024,7.707343,0
1.635149,5.897722,0
1.869894,4.899632,0
4.786083,7.592303,2
4.239613,5.605557,2
2.202454,7.750523,0
3.227507,7.436402,0
1.374013,7.439271,0
2.592479,6.135995,0
5.361440,6.663426,2
3.811214,7.014433,0
3.990782,8.954898,0
2.406203,8.348641,0
2.825603,7.561607,0
5.482348,6.060200,2
4.847871,4.729793,2
5.290968,4.555738,2
4.655373,5.434907,2
4.519820,7.689670,0
2.205452,6.501904,0
4.429682,6.763645,2
5.438402,4.567605,2
2.321225,6.390454,0
2.797080,6.144965,0
4.654592,7.861661,0
1.347183,5.000389,0
2.636636,8.595017,0
2.991666,8.295612,0
1.705214,7.457957,0
3.619924,7.713012,0
5.365730,4.961653,2
5.452749,7.122447,2
1.794034,6.727305,0
3.439587,5.401521,2
2.729368,7.401287,0
4.042738,5.236986,2
2.211822,4.719519,2
3.111629,6.867316,0
1.773100,8.070479,0
2.661353,8.866696,0
4.264324,7.972323,0
3.187671,8.786155,0
1.287111,7.744639,0
4.530458,7.208654,2
2.882447,6.306093,0
5.414581,8.528176,2
2.272978,6.383212,0
4.815470,8.461436,0
1.370077,5.247577,0
4.989064,6.587885,2
3.123688,7.320018,0
1.490954,7.196152,0
2.499751,8.521672,0
4.768375,8.928971,0
2.245824,6.580371,0
3.641658,6.990413,0
4.765295,7.433998,2
1.320193,5.161847,0
4.162504,8.510866,0
4.144710,7.308451,0
3.087831,8.763764,0
2.966190,7.128006,0
3.529796,7.313088,0
5.178175,7.140269,2
2.037099,4.777257,0
1.998162,8.684490,0
2.890972,8.212470,0
2.500844,6.513670,0
4.891634,8.232072,0
1.797375,6.014813,0
3.219934,5.103315,2
2.933710,7.527642,0
3.539187,4.634943,2
3.952730,8.677710,0
5.403493,6.682481,2
2.044725,6.432839,0
2.083652,6.633267,0
4.585762,8.636967,0
4.742523,6.992834,2
1.510785,4.715280,0
5.334904,8.386157,2
1.662953,7.523531,0
1.646321,5.181404,0
5.163535,7.811052,2
3.281660,4.816736,2
1.696830,7.932685,0
2.567359,7.396950,0
3.969195,6.013947,2
2.402976,5.666865,0
2.582080,6.601222,0
1.665306,5.241566,0
3.964949,7.400613,0
1.832815,4.796656,0
5.294702,5.612539,2
5.040318,7.309727,2
5.246637,7.392773,2
4.256608,8.136524,0
2.666607,8.746076,0
4.514579,8.320570,0
1.050173,7.224769,0
5.231389,4.856226,2
5.471872,8.174628,2
2.608326,8.038251,0
4.364358,7.053627,2
4.568091,6.363619,2
4.176366,6.835523,2
3.141213,6.104017,0
3.225945,8.468350,0
2.386236,4.795653,2
4.127555,7.941232,0
4.702570,8.848607,0
2.956229,7.576911,0
3.316297,7.887055,0
3.983549,6.374979,2
1.644250,6.864404,0
2.550193,6.847308,0
2.825936,6.237066,0
1.383900,6.839200,0
5.196574,7.914597,2
4.772728,4.706359,2
4.957450,5.665800,2
5.210706,7.818349,2
1.326073,5.013874,0
2.704417,6.378373,0
3.420392,7.370252,0
1.472726,4.594455,0
4.607595,8.089705,0
4.328388,4.684708,2
1.234671,5.442442,0
3.169763,6.246036,0
5.142330,8.234493,2
1.186878,5.342544,0
2.322963,7.838262,0
3.253827,5.593971,2
3.743870,4.643165,2
2.189121,7.214371,0
2.903944,5.162573,2
2.649536,7.062796,0
5.241274,6.292126,2
1.556756,6.816624,0
1.315147,5.243726,0
5.339427,7.968478,2
2.991295,7.748426,0
2.666226,7.124936,0
1.766096,6.329805,0
1.243857,6.073219,0
3.960226,4.707072,2
3.601729,4.556164,2
5.441958,5.356823,2
3.717066,5.501745,2
1.292275,4.789283,0
1.729491,6.482262,0
3.139291,6.612117,0
1.008698,5.760904,0
2.986566,6.432987,0
2.174184,4.775564,0
5.222862,6.559333,2
4.221250,7.092137,2
1.733885,7.666489,0
3.142846,4.661073,2
4.106155,6.559429,2
3.074028,4.793985,2
5.298160,8.642496,0
4.206431,6.704029,2
2.787166,6.455746,0
1.529743,5.979301,0
2.080523,7.191293,0
4.886338,7.283136,2
2.961894,6.799173,0
3.240406,8.436389,0
4.113675,5.694557,2
4.421410,5.649596,2
1.699306,6.054696,0
4.822557,8.122683,0
5.260680,8.436543,0
3.647886,5.485010,2
3.260129,6.038804,0
1.854010,5.442815,0
1.008266,7.779257,0
4.949101,8.775115,0
1.603501,7.135477,0
1.102336,5.843656,0
5.226115,7.864320,2
2.318269,7.013098,0
1.739470,5.974481,0
2.795962,4.881462,2
3.068089,7.659900,0
2.953139,5.827423,0
3.326544,6.987734,0
4.808106,7.253151,2
1.248239,4.584430,0
3.493797,7.670512,0
4.097239,8.293087,0
3.961259,7.154364,0
3.985042,6.469233,2
3.125054,6.348713,0
5.362877,7.294176,2
2.809887,7.147228,0
4.822984,7.188668,2
4.404902,4.680063,2
3.396705,8.587324,0
4.933673,8.774103,0
3.102018,5.777609,2
1.036578,7.571148,0
4.274952,7.280246,0
4.224653,8.204998,0
1.843419,8.681823,0
3.907303,5.696368,2
3.438907,6.519193,0
2.508943,6.852419,0
3.870589,7.200725,0
4.731405,6.364988,2
4.190388,6.334265,2
2.568477,6.581110,0
1.577475,6.908827,0
2.746353,4.776213,2
5.176799,8.878768,0
4.619758,7.204570,2
4.414136,5.795514,2
5.307625,6.950028,2
5.472612,6.133551,2
3.728984,6.428100,2
1.132197,7.161929,0
2.514004,7.221707,0
2.249461,8.730727,0
1.527389,7.292873,0
1.194482,6.666205,0
2.666394,6.122890,0
2.515952,4.635257,2
1.781436,8.884287,0
3.797980,6.165875,2
2.790296,7.873018,0
5.300541,4.613374,2
3.940072,7.531656,0
2.479347,5.037123,2
1.887160,7.786650,0
1.519040,5.054140,0
5.481845,7.421067,2
2.706745,8.273950,0
3.528946,8.673883,0
4.297231,5.027590,2
4.918625,5.808161,2
3.574766,5.464180,2
1.049662,6.848811,0
5.078419,7.072027,2
4.467941,8.720142,0
2.721271,8.376267,0
1.423206,5.809628,0
1.223441,6.754865,0
4.695230,6.640044,2
4.731959,7.293435,2
3.946298,6.123488,2
1.597725,5.483337,0
2.538145,7.438187,0
4.291172,8.313162,0
5.082811,8.761089,0
4.132886,8.705124,0
2.087107,6.924126,0
3.898483,6.229295,2
2.263376,4.921097,0
5.309364,5.348722,2
1.712782,8.510653,0
2.882525,8.427352,0
2.134044,6.954925,0
1.424756,5.915054,0
4.724730,7.705641,2
3.363875,6.394845,0
4.004864,8.416845,0
2.837250,4.579671,2
4.791655,5.668959,2
4.317875,5.143530,2
2.567010,5.914813,0
5.270222,7.496523,2
3.910056,7.786745,0
1.158750,6.905530,0
3.684018,8.526349,0
2.868931,5.785422,0
1.346037,5.384558,0
3.376220,5.255566,2
5.330500,6.606734,2
4.189330,5.352825,2
3.490641,5.248455,2
2.093305,7.155741,0
4.501191,4.660330,2
3.933734,4.991143,2
4.736106,5.344474,2
3.918479,4.951183,2
3.159261,6.142193,0
3.227788,4.836647,2
2.709427,7.719757,0
3.027184,8.516636,0
4.664133,5.990749,2
5.179498,6.123998,2
1.663665,5.433930,0
4.374197,8.376227,0
5.390458,6.806297,2
5.386566,7.688322,2
2.577815,8.992921,0
2.772771,7.667141,0
5.279280,8.099441,2
1.479917,4.569298,0
5.206421,5.524973,2
2.557729,8.849703,0
3.398773,8.111980,0
3.424574,6.155508,2
4.216231,4.608963,2
2.826057,8.807386,0
1.687547,4.639806,0
2.531047,6.517945,0
3.819947,8.067312,0
1.258177,8.541977,0
4.832504,8.805066,0
1.956904,4.585962,0
3.427579,7.781233,0
1.614194,8.699600,0
2.461893,7.717890,0
3.794843,5.603837,2
2.151920,8.319848,0
3.856941,5.677514,2
3.185524,6.582758,0
5.221796,6.474796,2
4.858757,6.068064,2
2.668976,6.682588,0
2.413908,8.166299,0
4.728405,5.067240,2
3.033287,6.980139,0
2.421453,5.903924,0
1.440138,5.609738,0
1.292052,8.630154,0
4.102558,5.211528,2
4.006228,5.677300,2
5.070460,7.957910,2
2.357620,4.730858,2
5.197639,5.899365,2
1.908924,8.517375,0
4.565704,7.950711,0
2.010837,8.112865,0
1.138405,6.942239,0
4.879153,5.913829,2
4.082984,5.835468,2
5.239337,5.025561,2
4.041342,8.679417,0
4.794041,7.272994,2
2.628524,5.338153,0
2.765646,8.055087,0
3.554593,7.390362,0
1.428185,5.063623,0
1.872028,5.143390,0
3.646299,6.638509,0
4.381769,5.774666,2
4.902575,6.981564,2
2.673081,6.503869,0
4.594665,5.819451,2
1.262415,5.505890,0
3.805461,6.809234,0
2.604886,8.172386,0
3.645676,7.768050,0
5.112031,6.104949,2
1.897490,6.729854,0
2.660876,8.697994,0
4.021337,6.454587,2
4.456650,6.997483,2
3.350117,4.535997,2
4.726338,7.940619,0
3.371933,8.881005,0
3.257897,8.244884,0
2.889880,6.841553,0
2.630342,8.830282,0
1.555430,7.687774,0
2.341727,8.195934,0
2.245044,6.790876,0
4.466014,5.746244,2
4.501816,4.785405,2
1.647043,8.663928,0
3.319868,5.570196,2
3.687582,8.525354,0
3.276294,5.754255,2
2.737448,5.545521,0
2.917441,7.830576,0
1.052919,6.337667,0
5.136993,5.180217,2
1.357479,6.655511,0
3.283184,4.791190,2
4.690772,7.608496,2
3.692779,5.787437,2
2.908691,5.704003,0
3.516896,6.110274,2
4.550925,7.643095,0
1.754719,5.152173,0
5.367033,5.935264,2
3.130764,8.235801,0
5.183844,7.898020,2
5.054227,5.021233,2
4.378970,7.225682,2
4.044559,8.287048,0
3.916061,7.010465,0
1.329611,5.796823,0
2.906013,6.069490,0
3.388710,6.179249,0
5.242171,8.807171,0
4.205011,7.373753,0
4.260208,6.286737,2
3.115579,5.387428,2
1.541270,6.472727,0
4.523940,7.313478,2
2.971708,8.525458,0
2.941552,6.963173,0
1.123740,8.863194,0
1.659528,6.459816,0
2.901678,7.041900,0
4.452117,8.091937,0
1.021449,5.886460,0
3.716181,8.998325,0
5.075098,7.241435,2
4.179977,7.852528,0
2.181417,6.169327,0
4.829843,7.849315,2
2.501225,8.121739,0
3.602279,4.999483,2
2.947479,6.956591,0
1.232179,7.672554,0
4.284115,7.120903,2
3.466767,4.708342,2
4.380499,8.689973,0
1.228470,7.951123,0
4.217348,8.898099,0
2.339625,7.646315,0
2.275647,7.875404,0
4.734447,5.767074,2
1.388779,6.268219,0
1.191957,8.130298,0
2.569334,8.037281,0
3.440512,6.229974,2
3.742574,7.952314,0
2.221174,7.818474,0
1.923539,6.584226,0
2.717345,6.697129,0
3.126512,8.997546,0
4.759831,5.170794,2
1.546622,6.833281,0
4.041137,6.236839,2
3.235083,7.106294,0
5.060070,8.845113,0
3.480688,8.006509,0
1.578541,8.859319,0
2.989044,7.197812,0
1.865340,7.445748,0
2.957053,7.060116,0
2.013100,6.441699,0
5.324933,7.838730,2
3.017924,7.357348,0
4.497152,5.766690,2
1.711989,7.790520,0
4.900639,4.505897,2
1.927655,5.707618,0
1.800774,4.864142,0
1.742010,6.558586,0
3.543710,8.293039,0
4.272315,6.269108,2
4.941635,5.237966,2
4.187910,7.883626,0
3.148584,8.058624,0
4.691260,5.227984,2
1.074755,7.009505,0
5.482500,5.343958,2
3.857027,5.748173,2
2.928139,7.269316,0
1.127768,5.629587,0
4.389997,8.213497,0
1.938853,7.393164,0
5.497549,5.563252,2
5.082621,6.520652,2
4.206093,8.978587,0
4.289198,4.736121,2
3.126196,7.517652,0
4.881298,7.609672,2
1.744368,7.793026,0
3.791926,5.571871,2
2.315491,6.381801,0
3.052638,6.228216,0
1.205376,4.631748,0
1.799478,7.677776,0
1.260694,4.701397,0
5.249846,6.991343,2
2.542346,6.620223,0
3.330778,4.867920,2
3.813604,4.762947,2
2.067692,4.553650,2
3.322558,5.845768,2
4.629438,7.386872,2
2.567191,8.445538,0
4.864094,6.926138,2
1.154974,5.973132,0
5.369487,5.516140,2
4.352996,8.610269,0
2.229649,4.661239,2
4.046977,7.429938,0
2.565764,5.159683,2
5.261592,4.616072,2
2.523807,8.962958,0
1.142709,7.723732,0
2.591136,4.626455,2
2.742056,7.679169,0
2.606262,5.516641,0
5.319859,5.788836,2
2.726822,7.686811,0
3.458519,8.182686,0
5.163956,4.726140,2
5.125868,4.905477,2
2.092298,8.170847,0
4.226909,8.221555,0
2.570257,8.091891,0
3.494275,5.715474,2
4.343376,6.385275,2
4.688642,6.112868,2
4.913458,6.034641,2
1.161393,6.192999,0
1.990110,5.336395,0
2.651379,7.468822,0
2.375634,8.529358,0
4.275237,6.580568,2
4.148779,8.407445,0
5.095274,6.655603,2
4.805212,6.259118,2
4.503451,7.983038,0
2.803795,5.531583,0
3.595621,4.785870,2
1.343618,5.877547,0
4.928387,6.065216,2
5.303286,4.752122,2
3.274890,5.571459,2
5.159649,7.566432,2
1.605311,8.837481,0
2.074317,8.582219,0
3.204832,5.751948,2
3.133270,8.570534,0
2.957474,7.778226,0
1.176620,7.578303,0
3.899490,4.914742,2
4.220052,5.238474,2
2.582500,8.128508,0
5.259505,6.306940,2
4.343979,8.527326,0
1.228537,7.425461,0
5.411642,8.178319,2
1.980201,8.696668,0
1.162882,8.755752,0
2.173167,6.573235,0
4.241871,8.098379,0
2.115524,6.551989,0
2.057121,6.564173,0
1.094553,5.791300,0
2.190793,8.291052,0
4.113107,8.331469,0
1.156012,5.444970,0
1.282538,4.569612,0
2.789677,5.762979,0
3.205128,7.512992,0
3.839719,5.111808,2
4.255319,6.278438,2
1.345446,8.888700,0
2.896507,5.944035,0
5.381770,4.536777,2
4.662126,8.517147,0
2.006955,7.915602,0
3.203840,7.756727,0
1.051031,6.109360,0
2.163710,6.627963,0
3.045694,6.506789,0
4.334395,6.812349,2
5.457970,8.612002,0
2.494922,7.250300,0
5.251561,7.574911,2
5.328340,8.503335,0
5.046749,6.694293,2
3.217221,7.519092,0
4.532210,8.085747,0
4.614036,7.440801,2
4.049954,5.161785,2
3.615749,8.489000,0
2.488006,7.597873,0
1.005916,7.423981,0
1.296109,6.970303,0
1.386784,4.621454,0
1.058994,8.313159,0
2.510855,8.352696,0
1.536689,8.647600,0
3.671180,6.196057,2
1.167907,7.581587,0
1.043073,5.539968,0
1.727183,8.139265,0
4.743545,6.536619,2
4.450792,6.802115,2
2.227511,6.020365,0
1.846735,7.216844,0
2.015928,8.209575,0
1.278867,6.630726,0
1.269551,5.841237,0
1.666701,4.905699,0
1.328445,6.490196,0
1.192987,7.295580,0
3.351076,6.605025,0
4.551542,7.261689,2
4.126390,6.202403,2
1.299592,4.835780,0
1.080810,8.271451,0
2.989713,6.142029,0
1.709209,6.544248,0
4.234871,6.228120,2
4.167738,5.181504,2
4.983518,5.873461,2
2.463675,6.674476,0
5.368967,4.753150,2
5.431691,7.144803,2
1.176331,8.665195,0
5.021071,6.278742,2
4.700796,5.896257,2
4.259101,7.912993,0
2.300141,6.872097,0
3.258769,4.541455,2
2.927562,7.171754,0
3.745072,7.574963,0
5.167509,8.833192,0
2.080555,5.062923,0
2.223468,8.917034,0
4.307516,8.695096,0
4.381956,6.079022,2
5.187664,5.166717,2
3.082286,5.320619,2
4.873110,4.545893,2
2.404164,7.785009,0
1.936176,7.972972,0
5.143724,7.675845,2
1.237316,4.933928,0
2.850199,7.208695,0
3.053535,6.988107,0
2.871371,8.356260,0
4.016591,8.861286,0
4.406068,8.575984,0
5.102431,7.286763,2
4.689784,6.894359,2
1.421424,5.070258,0
1.800577,7.826022,0
3.889966,7.506246,0
4.934273,5.617683,2
3.665410,5.080277,2
2.180945,7.131995,0
4.976885,8.633253,0
1.844602,7.750471,0
3.199901,6.882515,0
1.044192,7.348677,0
2.621953,5.051244,2
2.989728,8.808202,0
1.565781,7.705063,0
3.809640,7.282593,0
2.360941,7.957704,0
2.078368,6.892444,0
2.613834,5.583687,0
5.018097,4.637040,2
5.457823,6.673666,2
4.295895,5.864708,2
5.467546,8.251432,2
3.429052,6.853156,0
2.952108,8.487650,0
5.341032,7.834096,2
1.667438,8.408110,0
1.299219,6.832990,0
1.109132,7.816011,0
3.755905,4.722745,2
4.134739,6.014906,2
4.605138,6.665813,2
1.619786,6.787009,0
1.719032,5.237528,0
5.449751,4.625578,2
2.793906,6.541245,0
1.845603,8.957772,0
3.149777,4.897190,2
3.449053,8.929523,0
2.476711,8.222996,0
5.499688,8.951529,0
3.375018,7.241370,0
1.601805,5.679931,0
2.973430,6.245513,0
3.793573,8.814623,0
1.913106,7.261660,0
1.603764,4.658112,0
4.495753,6.566329,2
3.861774,4.670720,2
2.269613,8.562238,0
1.860668,7.605400,0
2.194915,6.680943,0
3.388640,8.464334,0
4.081874,4.634762,2
2.724775,8.437194,0
5.297446,6.745242,2
1.532605,8.912173,0
1.175950,7.590710,0
3.270273,4.704776,2
3.603171,7.343300,0
4.776868,7.590695,2
3.945002,5.033819,2
5.250378,6.004101,2
3.302459,6.768541,0
1.382145,5.896263,0
5.476467,7.022637,2
2.806499,6.116097,0
5.030408,5.973765,2
4.945863,7.775750,2
2.334182,8.117118,0
1.596664,8.745336,0
2.196599,7.562459,0
1.025774,7.658671,0
4.688208,6.581133,2
1.785978,5.420786,0
4.793862,7.194530,2
1.750205,8.809031,0
4.438087,5.971315,2
3.335221,6.600448,0
2.227084,8.970598,0
2.544414,7.699353,0
4.172839,8.217895,0
3.661909,4.610805,2
3.112206,8.491430,0
2.513695,5.863566,0
5.355268,7.557423,2
3.906288,6.195161,2
1.883355,6.434656,0
2.607312,7.736451,0
3.308581,6.367814,0
4.973485,7.995415,2
1.687004,5.745009,0
2.037077,8.852509,0
1.733449,4.615977,0
3.764561,8.242284,0
3.257364,5.615715,2
1.846535,6.165288,0
2.834717,7.520355,0
3.620746,7.360354,0
2.390181,8.539908,0
3.164345,8.705871,0
5.227277,6.126401,2
1.207182,8.167384,0
3.406878,6.846904,0
2.991974,6.232097,0
5.078645,6.175193,2
4.964691,5.950268,2
1.734585,7.055331,0
4.384858,7.839286,0
2.813442,5.794811,0
3.506287,5.204507,2
1.360762,6.667653,0
1.524559,8.541372,0
5.163367,5.616446,2
4.954799,6.288979,2
1.734434,7.956602,0
3.392038,8.969697,0
5.184065,6.376958,2
2.465722,6.950414,0
1.723576,6.717996,0
5.273686,7.803258,2
3.080607,8.572604,0
1.993469,8.818975,0
1.009087,5.325372,0
3.786367,8.995346,0
2.811277,7.939592,0
5.050147,8.951558,0
3.276469,5.357537,2
4.269192,5.199517,2
1.123690,6.903502,0
2.707359,5.348413,2
2.740351,7.824893,0
2.520193,6.530186,0
2.639943,5.884302,0
3.874402,5.971712,2
1.148114,5.802722,0
4.132867,4.825104,2
4.670039,8.089335,0
3.283403,7.360894,0
1.506667,4.706084,0
5.078455,7.185594,2
2.860025,6.482414,0
3.131901,7.142342,0
4.211714,5.300420,2
2.088420,6.565670,0
2.348383,4.616506,2
4.170155,7.114761,0
4.472537,6.028583,2
1.062282,4.771426,0
3.480913,6.892990,0
3.936075,8.434428,0
5.192473,6.984362,2
4.106763,8.073885,0
2.141952,8.114358,0
2.849673,8.794321,0
1.553010,8.723826,0
1.593850,7.395926,0
3.880531,8.205171,0
2.558905,6.549994,0
2.902405,5.461402,2
5.227340,7.178069,2
2.727502,5.085092,2
2.028633,8.239828,0
4.106254,6.829478,2
1.044361,8.830578,0
4.087589,6.649184,2
4.562536,8.060055,0
3.283721,6.432389,0
2.386343,7.749250,0
4.317455,7.676458,0
2.371219,5.886467,0
4.486189,7.649062,0
1.504511,8.364923,0
4.589847,4.819874,2
3.209505,4.839805,2
4.748132,5.254823,2
4.412904,7.770451,0
5.059660,5.772562,2
2.252980,5.047456,0
3.005618,8.372490,0
2.224071,6.927426,0
2.484632,8.583286,0
4.886203,5.809614,2
1.494361,8.204356,0
2.810156,7.027372,0
2.827338,4.927183,2
2.964157,8.185525,0
1.796500,4.911639,0
2.195786,7.952869,0
3.967975,4.640959,2
4.672250,8.303836,0
2.895330,8.152420,0
1.720289,7.577185,0
2.298746,5.650808,0
4.609581,6.646262,2
1.739106,5.116861,0
4.554067,5.077941,2
3.358967,5.907661,2
2.440158,6.019222,0
2.238297,7.086222,0
4.608541,5.578236,2
1.468110,6.691698,0
4.771550,5.014787,2
1.356683,5.398748,0
4.229038,6.554603,2
4.890780,8.826879,0
5.403512,6.872607,2
2.121068,8.812279,0
1.111873,6.637014,0
2.003402,4.636541,0
1.549115,5.564041,0
2.733577,6.851941,0
1.379487,7.488962,0
2.271619,7.007067,0
3.549621,5.119916,2
2.478440,6.458929,0
5.245636,8.402891,0
